id	segment	baseline_index	physical_line	baseline	token	action	certainty	literal	alternatives	images	observation
s0t000	0	0	P1.C01	for	for	retain	not_individually_graded	co	[]	"[""L1-02.png""]"	
s0t001	0	1	P1.C01	ub	ub	retain	not_individually_graded	mu	[]	"[""L1-02.png""]"	
s0t002	0	2	P1.C01	id	id	retain	not_individually_graded	ni	[]	"[""L1-02.png""]"	
s0t003	0	3	P1.C01	#	#	retain	not_individually_graded	s	[]	"[""L1-02.png""]"	
s0t004	0	4	P1.C01	X	X	retain	not_individually_graded	a	[]	"[""L1-02.png""]"	
s0t005	0	5	P1.C01	10	10	retain	not_individually_graded	u	[]	"[""L1-02.png""]"	
s0t006	0	6	P1.C01	his	his	retain	uncertain	gi	"[""his"", ""hus"", ""lus""]"	"[""L1-02.png""]"	The title requires gu under the proposed reading. hus and lus both yield gu in v4; compare lus at s2t140. The first letter/vowel are not sufficiently clear to elect a new transcription.
s0t007	0	7	P1.C01	#	#	retain	not_individually_graded	s	[]	"[""L1-02.png""]"	
s0t008	0	8	P1.C01	xir	xir	retain	not_individually_graded	ti	[]	"[""L1-02.png""]"	
s0t009	0	9	P1.C01	tis	tis	retain	not_individually_graded	si	[]	"[""L1-02.png""]"	
s0t010	0	10	P1.C01	eb	eb	retain	not_individually_graded	me	[]	"[""L1-02.png""]"	
s0t011	0	11	P1.C01	od	od	retain	not_individually_graded	no	[]	"[""L1-02.png""]"	
s0t012	0	12	P1.C01	#	#	retain	not_individually_graded	s	[]	"[""L1-02.png""]"	
s0t013	0	13	P1.C01	Ft	Ft	retain	not_individually_graded	t	[]	"[""L1-02.png""]"	
s0t014	0	14	P1.C01	M	M	retain	not_individually_graded	r	[]	"[""L1-02.png""]"	
s0t015	0	15	P1.C01	9	9	retain	not_individually_graded	e	[]	"[""L1-02.png""]"	
s0t016	0	16	P1.C01	ho	ho	retain	not_individually_graded	do	[]	"[""L1-02.png""]"	
