span	position	original_label	reviewed_label	literal	draft_expected	status
V01	1	x	x	c	c	match
V01	2	12	12	i	i	match
V01	3	y	y	u	u	match
V01	4	15	15	i	i	match
V01	5	37	37	t	t	match
V01	6	7	7	c	a	mismatch
V01	7	31	31	s	s	match
V02	1	34	34	t	t	match
V02	2	q	q	r	r	match
V02	3	6	6	e	e	match
V02	4	35	35	u	u	match
V02	5	15	15	i	i	match
V02	6	i	i	r	r	match
V02	7	p	p	e	e	match
V02	8	22	22	n	n	match
V02	9	31	31	s	s	match
V02	10	24	24	i	i	match
V02	11	26	26	s	s	match
V03	1	12	12	i	i	match
V03	2	t	t	a	a	match
V03	3	6	6	e	m	mismatch
V03	4	11	11	i	i	match
V03	5	22	22	n	n	match
V03	6	4	4	d	d	match
V03	7	m	m	e	e	match
V03	8	z	z	a	a	match
V03	9	4	4	d	d	match
V03	10	y	y	u	u	match
V03	11	7	7	c	c	match
V03	12	p	p	e	e	match
V03	13	32	32	n	n	match
V03	14	34	34	t	t	match
V03	15	15	15	i	i	match
V03	16	25	25	s	s	match
V04	1	t	t	a	a	match
V04	2	32	32	n	n	match
V04	3	22	22	n	n	match
V04	4	24	24	i	i	match
V04	5	25	25	s	s	match
V05	1	31	31	s	s	match
V05	2	38	38	u	u	match
V05	3	8	8	b	b	match
V06	1	31	31	s	s	match
V06	2	37	37	t	t	match
V06	3	m	m	e	e	match
V06	4	34	34	t	t	match
V06	5	g	g	p	p	match
V06	6	c	c	r	r	match
V06	7	a	a	o	o	match
V06	8	37	37	t	t	match
V06	9	p	p	e	e	match
V06	10	x	x	c	c	match
V06	11	34	34	t	t	match
V06	12	15	15	i	i	match
V06	13	l	l	o	o	match
V06	14	22	22	n	n	match
V06	15	m	m	e	e	match
V07	1	t	t	a	a	match
V07	2	37	37	t	t	match
V07	3	30	30	q	q	match
V07	4	y	y	u	u	match
V07	5	6	6	e	e	match
V08	1	0	0	a	a	match
V08	2	9	9	b	b	match
V08	3	6	6	e	e	match
V08	4	15	15	i	i	match
V08	5	y	y	u	u	match
V08	6	25	25	s	s	match
V09	1	e	e	m	m	match
V09	2	11	11	i	i	match
V09	3	19	19	l	l	match
V09	4	12	12	i	i	match
V09	5	34	34	t	t	match
V09	6	p	p	e	e	match
V10	1	2	2	f	f	match
V10	2	35	35	u	u	match
V10	3	p	p	e	e	match
V10	4	c	c	r	r	match
V10	5	15	15	i	i	match
V10	6	37	37	t	t	match
V11	1	20	20	p	p	match
V11	2	0	c	r	r	match
V11	3	0	o	a	a	match
V11	4	m	m	e	e	match
V11	5	26	26	s	s	match
V11	6	12	12	i	i	match
V11	7	4	4	d	d	match
V11	8	24	24	i	i	match
V11	9	f	f	o	o	match
V12	1	d	d	m	m	match
V12	2	23	23	u	u	match
V12	3	22	22	n	n	match
V12	4	11	11	i	i	match
V12	5	34	34	t	t	match
V12	6	z	z	a	a	match
