row	cipher_position	symbol	literal	grade	basis
P1.L05	1	0	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	2	4	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	3	10	h	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	4	h	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	5	8	b	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	6	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	7	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	8	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	9	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	10	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	11	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	12	i	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	13	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	14	33	q	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	15	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	16	l	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	17	3	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	18	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	19	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	20	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	21	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	22	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
